title,release_year,rating,num_seasons,is_mature,genre_count,binge_score
Toast of London,2015,TV-MA,3,1,3,2.6
Tobot,2018,TV-Y7,2,0,2,1.6
Top 10 Secrets and Mysteries,2018,TV-14,1,0,3,1.4
Top Grier,2018,TV-MA,3,1,1,2.0
Towies,2016,TV-MA,1,1,2,1.3
Trotsky,2017,TV-MA,1,1,2,1.3
Twin Peaks,1990,TV-14,2,0,3,1.9
Twirlywoos,2018,TV-Y,2,0,2,1.6
Ugly Duckling,2015,TV-14,4,0,3,2.9
V.R. Troopers,1995,TV-G,2,0,1,1.3
ViR: The Robot Boy,2013,TV-Y7,2,0,1,1.3
Vroomiz,2016,TV-Y,3,0,2,2.1
Wake Up,2017,TV-14,2,0,2,1.6
Wartime Portraits,2014,TV-MA,1,1,2,1.3
Weeds,2012,TV-MA,8,1,2,4.8
Weird Wonders of the World,2016,TV-PG,2,0,3,1.9
What Happens to My Family,2016,TV-14,1,0,3,1.4
What Is Love?,2012,TV-14,1,0,3,1.4
When Calls the Heart,2017,TV-PG,5,0,1,2.8
Who's the One,2011,TV-14,1,0,3,1.4
Wild Alaska,2015,TV-PG,1,0,3,1.4
Wild Arabia,2013,TV-PG,1,0,3,1.4
Winsanity,2016,TV-G,1,0,1,0.8
Winter Sun,2014,TV-MA,1,1,3,1.5999999999999999
Women Behind Bars,2010,TV-14,3,0,2,2.1
World's Busiest Cities,2017,TV-PG,1,0,2,1.1
Yeh Meri Family,2018,TV-PG,1,0,2,1.1
Yo-Kai Watch,2015,TV-Y7,1,0,2,1.1
Yoko,2016,TV-Y,1,0,1,0.8
YOM,2016,TV-Y7,1,0,1,0.8
Yu-Gi-Oh! Arc-V,2015,TV-Y7,2,0,2,1.6
Yunus Emre,2016,TV-PG,2,0,2,1.6
Zak Storm,2016,TV-Y7,3,0,1,1.8
Zindagi Gulzar Hai,2012,TV-PG,1,0,3,1.4
Zombie Dumb,2018,TV-Y7,2,0,3,1.9
